财务分类,项目编码,项目名称,项目内涵,除外内容,计价单位,说明,一档价格,二档价格,三档价格,四档价格
,1,一、综合医疗服务类,,,,"1.本类包括一般医疗服务、一般检查治疗、社区卫生及预防保健项目和其它医疗服务项目，本类编码为100000000。
2.有下列情况之一者不另收诊查费：①由医生指定在医院内换号诊断；②取化验及各种检查结果；③病人一次门诊医生开多张处方，多种检查，多次治疗单，检查治疗科室不得要求病人另交纳诊查费。
3.多科室共同使用的医疗服务项目列入本类之中，如护理、抢救、注射、换药等等。
4.患者结算时，门诊医药费用清单和住院病人医药费用明细清单不得另外收费。
5.门诊拆线不得另收诊查费。
6.门诊患者因病情需要，在院外使用的一次性材料（碘伏帽、胰岛素注射针头、造瘘管、造口袋、鼻饲管、导尿管、尿袋）可以外带并收费。",,,,
G,330701033,环杓关节直接拨动术,,,次,,500.0 ,475.0 ,450.0 ,400.0 
G,330701034,环甲间距缩短术,,,次,,1190.0 ,1130.5 ,1071.0 ,952.0 
G,330701035E,环杓关节复位术,,,次,,800.0 ,760.0 ,720.0 ,640.0 
G,330701036E,会厌脓肿切开引流术,,,次,,400.0 ,380.0 ,360.0 ,320.0 
G,330701037,经颈进路会厌肿物切除术,,,次,,800.0 ,760.0 ,720.0 ,640.0 
G,330701038E,会厌良性肿瘤切除术,含囊肿。,,次,,650.0 ,617.5 ,585.0 ,520.0 
G,330701039,气管支气管损伤修补术,,,次,,1400.0 ,1330.0 ,1260.0 ,1120.0 
G,330701040E,气管瘘修复术,含直接修补或其他组织材料修补；不含气管切开。,特殊修补材料或缝线,次,,1994.0 ,1894.0 ,1795.0 ,1595.0 
G,330701041E,气管内肿瘤切除术,含开胸气管部分切除成形、气管环状袖状切除再吻合术。,,次,,1600.0 ,1520.0 ,1440.0 ,1280.0 
G,330701041-1,气管内肿瘤切除术(激光),含开胸气管部分切除成形、气管环状袖状切除再吻合术。,,次,,1800.0 ,1710.0 ,1620.0 ,1440.0 
G,330701042E,气管成形术,含气管隆凸成形术。,,次,,6410.0 ,6090.0 ,5769.0 ,5128.0 
G,330701042-1,气管隆凸成形术,,,次,,5250.0 ,4987.5 ,4725.0 ,4200.0 
G,330701043E,颈段气管食管瘘修补术,,,次,,1637.0 ,1555.2 ,1473.3 ,1309.6 
